Населенный пункт,Тип,Субъект,Население (мужчины),Население (женщины)
пгт Новоивановское рп,Поселок городского типа,Московская область,6068,6270
пгт Быково рп,Поселок городского типа,Московская область,4521,4073
пгт Ильинский рп,Поселок городского типа,Московская область,7047,7598
пгт Кратово дп,Поселок городского типа,Московская область,8138,7427
пгт Родники дп,Поселок городского типа,Московская область,2567,2565
пгт Удельная дп,Поселок городского типа,Московская область,8919,8927
пгт Тучково рп,Поселок городского типа,Московская область,10700,11957
пгт Богородское рп,Поселок городского типа,Московская область,4779,5081
пгт Скоропусковский рп,Поселок городского типа,Московская область,2910,3659
пгт Вербилки рп,Поселок городского типа,Московская область,5069,5020
пгт Запрудня рп,Поселок городского типа,Московская область,7196,7993
пгт Северный рп,Поселок городского типа,Московская область,1896,2015
Городское поселение пгт. Верховье - городское население - пгт Верховье,Поселок городского типа,Орловская область,3230,3910
Городское поселение пгт. Глазуновка - городское население - пгт Глазуновка,Поселок городского типа,Орловская область,2095,2671
Городское поселение пгт. Долгое  - городское население - пгт Долгое,Поселок городского типа,Орловская область,1616,1931
Городское поселение пгт. Залегощь - городское население - пгт Залегощь,Поселок городского типа,Орловская область,1958,2412
Городское поселение пгт. Колпна - городское население - пгт Колпна,Поселок городского типа,Орловская область,2401,2969
Городское поселение пгт Кромы - городское население - пгт Кромы,Поселок городского типа,Орловская область,3196,3886
Городское поселение пгт Хомутово - городское население - пгт Хомутово,Поселок городского типа,Орловская область,1741,2172
Городское поселение пгт Знаменка - городское население - пгт Знаменка,Поселок городского типа,Орловская область,4436,5435
Городское поселение пгт Покровское  - городское население - пгт Покровское,Поселок городского типа,Орловская область,1732,2020
Городское поселение пгт Змиёвка - городское население - пгт Змиёвка,Поселок городского типа,Орловская область,2261,2765
Городское поселение пгт Нарышкино - городское население - пгт Нарышкино,Поселок городского типа,Орловская область,4565,4692
Городское поселение пгт Хотынец - городское население - пгт Хотынец,Поселок городского типа,Орловская область,1538,1988
Городское поселение пгт Шаблыкино - городское население - пгт Шаблыкино,Поселок городского типа,Орловская область,1294,1631
Александро-Невское городское поселение - городское население - пгт Александро-Невский,Поселок городского типа,Рязанская область,1706,2003
Городское население - пгт Ермишь,Поселок городского типа,Рязанская область,1534,1899
Городское население - пгт Кадом,Поселок городского типа,Рязанская область,2353,2814
Городское население - пгт Гусь-Железный,Поселок городского типа,Рязанская область,895,1006
Городское население - пгт Елатьма,Поселок городского типа,Рязанская область,1401,1885
Сынтульское городское поселение - городское население - пгт Сынтул,Поселок городского типа,Рязанская область,716,838
Тумское городское поселение - городское население - пгт Тума,Поселок городского типа,Рязанская область,2439,2963
Милославское городское поселение - городское население - пгт Милославское,Поселок городского типа,Рязанская область,1910,2313
Центральное городское поселение - городское население - пгт Центральный,Поселок городского типа,Рязанская область,670,494
Городское население - пгт Октябрьский,Поселок городского типа,Рязанская область,2685,3126
Пителинское городское поселение - городское население - пгт Пителино,Поселок городского типа,Рязанская область,936,995
Пронское городское поселение - городское население - пгт Пронск,Поселок городского типа,Рязанская область,2191,2562
Городское население - пгт Сапожок,Поселок городского типа,Рязанская область,1378,1694
Сараевское городское поселение - городское население - пгт Сараи,Поселок городского типа,Рязанская область,2267,2744
Городское население - пгт Павелец,Поселок городского типа,Рязанская область,1035,1088
Городское население - пгт Побединка,Поселок городского типа,Рязанская область,649,913
Городское население - пгт Старожилово,Поселок городского типа,Рязанская область,2237,2718
Городское население - пгт Ухолово,Поселок городского типа,Рязанская область,1801,2207
Чучковское городское поселение - городское население - пгт Чучково,Поселок городского типа,Рязанская область,1149,1501
Городское население - пгт Лесной,Поселок городского типа,Рязанская область,3263,4455
Городское население - пгт Шилово,Поселок городского типа,Рязанская область,6197,7720
Пржевальское городское поселение - городское население - пгт Пржевальское кп,Поселок городского типа,Смоленская область,568,697
Верхнеднепровское городское поселение - городское население - пгт Верхнеднепровский,Поселок городского типа,Смоленская область,4656,6175
Городское население - пгт Озерный,Поселок городского типа,Смоленская область,2279,2747
Городское население - пгт Кардымово,Поселок городского типа,Смоленская область,2033,2410
Городское население - пгт Красный,Поселок городского типа,Смоленская область,1598,2023
Монастырщинское городское поселение - городское население - пгт Монастырщина,Поселок городского типа,Смоленская область,1405,1818
Голынковское городское поселение - городское население - пгт Голынки,Поселок городского типа,Смоленская область,1253,1626
Городское население - пгт Хиславичи,Поселок городского типа,Смоленская область,1432,1751
Городское население - пгт Холм-Жирковский,Поселок городского типа,Смоленская область,1423,1742
Шумячское городское поселение - городское население - пгт Шумячи,Поселок городского типа,Смоленская область,1360,1833
Городское поселение Знаменский поссовет - городское население - пгт Знаменка рп,Поселок городского типа,Тамбовская область,2472,3053
Городское население - пгт Инжавино рп,Поселок городского типа,Тамбовская область,3423,4315
Городское население - пгт Мордово рп,Поселок городского типа,Тамбовская область,2440,3016
Городское население - пгт Новопокровка рп,Поселок городского типа,Тамбовская область,723,837
Городское поселение Мучкапский поссовет - городское население - пгт Мучкапский рп,Поселок городского типа,Тамбовская область,2694,3255
Городское поселение Дмитриевский поссовет - городское население - пгт Дмитриевка рп,Поселок городского типа,Тамбовская область,3012,3876
Городское поселение Первомайский поссовет - городское население - пгт Первомайский рп,Поселок городского типа,Тамбовская область,4755,5919
Городское поселение Ржаксинский поссовет - городское население - пгт Ржакса рп,Поселок городского типа,Тамбовская область,1982,2498
Городское население - пгт Сосновка рп,Поселок городского типа,Тамбовская область,3402,4115
Городское население - пгт Новая Ляда рп,Поселок городского типа,Тамбовская область,2586,2962
Городское население - пгт Токарёвка рп,Поселок городского типа,Тамбовская область,3016,3404
Городское население - пгт Умёт рп,Поселок городского типа,Тамбовская область,1892,2351
пгт Красномайский,Поселок городского типа,Тверская область,1941,2452
Городской округ пгт Озерный - городское население - пгт Озерный,Поселок городского типа,Тверская область,4877,5074
Городской округ пгт Солнечный - городское население - пгт Солнечный,Поселок городского типа,Тверская область,818,1022
Куженкинское городское поселение - городское население - пгт Куженкино,Поселок городского типа,Тверская область,948,970
Городское население - пгт Жарковский,Поселок городского типа,Тверская область,1281,1671
Городское поселение поселок Васильевский Мох - городское население - пгт Васильевский Мох,Поселок городского типа,Тверская область,1057,1252
Городское поселение поселок Орша - городское население - пгт Орша,Поселок городского типа,Тверская область,905,1069
Городское поселение поселок Суховерково - городское население - пгт Суховерково,Поселок городского типа,Тверская область,242,320
Городское поселение поселок Кесова Гора - городское население - пгт Кесова Гора,Поселок городского типа,Тверская область,1683,2063
Городское поселение поселок Белый Городок - городское население - пгт Белый Городок,Поселок городского типа,Тверская область,874,1148
Городское население - пгт Изоплит,Поселок городского типа,Тверская область,474,723
Городское поселение поселок Козлово - городское население - пгт Козлово,Поселок городского типа,Тверская область,1334,1688
Городское население - пгт Новозавидовский,Поселок городского типа,Тверская область,2518,3205
Городское население - пгт Радченко,Поселок городского типа,Тверская область,519,653
Городское поселение поселок Редкино - городское население - пгт Редкино,Поселок городского типа,Тверская область,4214,5420
Городское поселение поселок Максатиха - городское население - пгт Максатиха,Поселок городского типа,Тверская область,3350,4270
Городское поселение поселок Сонково - городское население - пгт Сонково,Поселок городского типа,Тверская область,1617,1936
Городское население - пгт Великооктябрьский,Поселок городского типа,Тверская область,948,1120
Фировское городское поселение - городское население - пгт Фирово,Поселок городского типа,Тверская область,927,1083
пгт Старая Торопа,Поселок городского типа,Тверская область,712,891
пгт Калашниково,Поселок городского типа,Тверская область,1843,2383
Городское население - пгт Молоково,Поселок городского типа,Тверская область,803,995
Городское население - пгт Оленино,Поселок городского типа,Тверская область,2150,2554
Городское население - пгт Пено,Поселок городского типа,Тверская область,1516,1843
Городское население - пгт Рамешки,Поселок городского типа,Тверская область,1819,2283
Городское население - пгт Сандово,Поселок городского типа,Тверская область,1405,1701
Городское население - пгт Селижарово,Поселок городского типа,Тверская область,2599,3332
Городское население - пгт Спирово,Поселок городского типа,Тверская область,2337,2857
Городской округ рабочий поселок Новогуровский - городское население - пгт Новогуровский рп,Поселок городского типа,Тульская область,1699,1935
Городской округ Славный - городское население - пгт Славный,Поселок городского типа,Тульская область,867,1027
Городское поселение рабочий поселок Волово - городское население - пгт Волово рп,Поселок городского типа,Тульская область,1693,1877
Городское поселение рабочий поселок Дубна - городское население - пгт Дубна рп,Поселок городского типа,Тульская область,2889,3083
Городское население - пгт Заокский рп,Поселок городского типа,Тульская область,2897,3567
Городское поселение рабочий поселок Куркино - городское население - пгт Куркино рп,Поселок городского типа,Тульская область,2428,3029
Городское поселение рабочий поселок Одоев - городское население - пгт Одоев рп,Поселок городского типа,Тульская область,2493,2952
Городское поселение рабочий поселок Теплое - городское население - пгт Теплое рп,Поселок городского типа,Тульская область,2178,2668
Городское поселение рабочий поселок Чернь - городское население - пгт Чернь рп,Поселок городского типа,Тульская область,2644,3512
Городское поселение рабочий поселок Первомайский - городское население - пгт Первомайский рп,Поселок городского типа,Тульская область,4542,5692
Городское население - пгт Борисоглебский рп,Поселок городского типа,Ярославская область,2444,3009
Городское население - пгт Бурмакино рп,Поселок городского типа,Ярославская область,1185,1425
Городское население - пгт Красный Профинтерн рп,Поселок городского типа,Ярославская область,455,633
Городское население - пгт Некрасовское рп,Поселок городского типа,Ярославская область,2653,3426
Городское поселение Пречистое  - городское население - пгт Пречистое рп,Поселок городского типа,Ярославская область,2017,2469
Городское население - пгт Ишня рп,Поселок городского типа,Ярославская область,1247,1486
Городское население - пгт Петровское рп,Поселок городского типа,Ярославская область,2013,2465
Городское население - пгт Поречье-Рыбное рп,Поселок городского типа,Ярославская область,656,791
Городское население - пгт Семибратово рп,Поселок городского типа,Ярославская область,2873,3638
Городское население - пгт Константиновский рп,Поселок городского типа,Ярославская область,2185,2869
Городское поселение Лесная Поляна - городское население - пгт Лесная Поляна рп,Поселок городского типа,Ярославская область,1146,1346
Городское население - пгт Калевала,Поселок городского типа,Республика Карелия,1640,1886
Лоухское городское поселение  - городское население - пгт Лоухи,Поселок городского типа,Республика Карелия,1680,2029
Пяозерское городское поселение   - городское население - пгт Пяозерский,Поселок городского типа,Республика Карелия,702,876
Городское население - пгт Чупа,Поселок городского типа,Республика Карелия,911,1163
Городское население - пгт Пиндуши,Поселок городского типа,Республика Карелия,1880,2053
Городское население - пгт Повенец,Поселок городского типа,Республика Карелия,828,984
Муезерское городское поселение  - городское население - пгт Муезерский,Поселок городского типа,Республика Карелия,1166,1438
Городское население - пгт Пряжа,Поселок городского типа,Республика Карелия,1286,1693
Городское население - пгт Надвоицы,Поселок городского типа,Республика Карелия,2990,3080
Вяртсильское городское поселение  - городское население - пгт Вяртсиля,Поселок городского типа,Республика Карелия,900,1204
пгт Хелюля,Поселок городского типа,Республика Карелия,832,1064
пгт Верхняя Максаковка,Поселок городского типа,Республика Коми,1733,2044
пгт Краснозатонский,Поселок городского типа,Республика Коми,3372,4064
пгт Седкыркещ,Поселок городского типа,Республика Коми,622,713
пгт Воргашор,Поселок городского типа,Республика Коми,3194,3359
пгт Елецкий,Поселок городского типа,Республика Коми,163,144
пгт Заполярный,Поселок городского типа,Республика Коми,225,258
пгт Комсомольский,Поселок городского типа,Республика Коми,69,59
пгт Мульда,Поселок городского типа,Республика Коми,9,3
пгт Октябрьский,Поселок городского типа,Республика Коми,0,0
пгт Промышленный,Поселок городского типа,Республика Коми,0,0
пгт Северный,Поселок городского типа,Республика Коми,1812,1848
пгт Верхняя Инта,Поселок городского типа,Республика Коми,215,223
пгт Кожым,Поселок городского типа,Республика Коми,0,0
пгт Парма,Поселок городского типа,Республика Коми,366,347
пгт Боровой,Поселок городского типа,Республика Коми,345,415
пгт Водный,Поселок городского типа,Республика Коми,2083,2594
пгт Шудаяг,Поселок городского типа,Республика Коми,1304,1658
пгт Ярега,Поселок городского типа,Республика Коми,2867,3389
Городское население - пгт Синдор,Поселок городского типа,Республика Коми,1193,880
пгт Изъяю,Поселок городского типа,Республика Коми,433,503
пгт Кожва,Поселок городского типа,Республика Коми,817,988
Городское население - пгт Путеец,Поселок городского типа,Республика Коми,375,394
Городское население - пгт Войвож,Поселок городского типа,Республика Коми,816,1029
Городское население - пгт Нижний Одес,Поселок городского типа,Республика Коми,3444,3904
Городское население - пгт Троицко-Печорск,Поселок городского типа,Республика Коми,2756,3296
Городское население - пгт Благоево,Поселок городского типа,Республика Коми,857,1061
Городское население - пгт Междуреченск,Поселок городского типа,Республика Коми,501,566
Городское население - пгт Усогорск,Поселок городского типа,Республика Коми,2227,2709
Городское население - пгт Жешарт,Поселок городского типа,Республика Коми,3139,3990
пгт Вычегодский,Поселок городского типа,Архангельская область без автономного округа,4816,6023
Городское поселение поселок Кузино - городское население - пгт Кузино,Поселок городского типа,Вологодская область,400,469
Городское население - пгт Вожега,Поселок городского типа,Вологодская область,2835,3284
Городское население - пгт Вохтога,Поселок городского типа,Вологодская область,2550,2963
Городское население - пгт Кадуй,Поселок городского типа,Вологодская область,5034,6309
Городское население - пгт Хохлово,Поселок городского типа,Вологодская область,949,1171
Городское поселение поселок Сазоново - городское население - пгт Сазоново,Поселок городского типа,Вологодская область,1256,1454
Городское поселение поселок Чагода - городское население - пгт Чагода,Поселок городского типа,Вологодская область,2593,3100
Городское поселение поселок Шексна - городское население - пгт Шексна,Поселок городского типа,Вологодская область,8438,7808
Городское население - пгт Янтарный,Поселок городского типа,Калининградская область,3117,3528
Городское население - пгт Ефимовский,Поселок городского типа,Ленинградская область,1655,1814
Городское население - пгт Дубровка,Поселок городского типа,Ленинградская область,3619,3925
пгт Янино-1,Поселок городского типа,Ленинградская область,8041,8845
Городское население - пгт Кузьмоловский,Поселок городского типа,Ленинградская область,5896,6924
Городское население - пгт Им. Морозова,Поселок городского типа,Ленинградская область,4800,5773
Городское население - пгт Рахья,Поселок городского типа,Ленинградская область,1832,2078
Городское население - пгт Им. Свердлова,Поселок городского типа,Ленинградская область,5896,6748
Городское население - пгт Токсово,Поселок городского типа,Ленинградская область,3690,4179
Городское население - пгт Рощино,Поселок городского типа,Ленинградская область,7876,8286
пгт Лесогорский,Поселок городского типа,Ленинградская область,1467,1607
Городское население - пгт Советский,Поселок городского типа,Ленинградская область,3346,3851
Городское население - пгт Вырица,Поселок городского типа,Ленинградская область,6828,8258
Городское население - пгт Дружная Горка,Поселок городского типа,Ленинградская область,1591,1853
Городское население - пгт Сиверский,Поселок городского типа,Ленинградская область,6408,7088
Городское население - пгт Тайцы,Поселок городского типа,Ленинградская область,2218,2572
Городское население - пгт Будогощь,Поселок городского типа,Ленинградская область,1149,1507
Городское население - пгт Мга,Поселок городского типа,Ленинградская область,5191,5959
Городское население - пгт Назия,Поселок городского типа,Ленинградская область,2902,3411
Городское население - пгт Павлово,Поселок городского типа,Ленинградская область,1581,1747
Городское население - пгт Приладожский,Поселок городского типа,Ленинградская область,2735,3032
Городское поселение Синявинское  - городское население - пгт Синявино,Поселок городского типа,Ленинградская область,2059,2146
Городское поселение Свирьстройское  - городское население - пгт Свирьстрой,Поселок городского типа,Ленинградская область,373,468
Городское население - пгт Новоселье,Поселок городского типа,Ленинградская область,3611,4032
Городское поселение Большеижорское  - городское население - пгт Большая Ижора,Поселок городского типа,Ленинградская область,1141,1294
Городское население - пгт Виллози,Поселок городского типа,Ленинградская область,1960,1153
Городское население - пгт Лебяжье,Поселок городского типа,Ленинградская область,3028,2040
Городское население - пгт Толмачево,Поселок городского типа,Ленинградская область,1312,1586
Городское население - пгт Важины,Поселок городского типа,Ленинградская область,1155,1328
Городское население - пгт Вознесенье,Поселок городского типа,Ленинградская область,1036,1181
Городское население - пгт Никольский,Поселок городского типа,Ленинградская область,1171,1334
Городское население - пгт Кузнечное,Поселок городского типа,Ленинградская область,1880,2131
Городское население - пгт Красный Бор,Поселок городского типа,Ленинградская область,2159,2490
Городское поселение Рябовское  - городское население - пгт Рябово,Поселок городского типа,Ленинградская область,1483,1680
Городское поселение Ульяновское  - городское население - пгт Ульяновка,Поселок городского типа,Ленинградская область,5235,6441
Городское население - пгт Федоровское,Поселок городского типа,Ленинградская область,2137,2626
Городское население - пгт Форносово,Поселок городского типа,Ленинградская область,3311,1410
пгт Сафоново,Поселок городского типа,Мурманская область,2107,2198
Городское население - пгт Зеленоборский,Поселок городского типа,Мурманская область,1639,2129
Городское население - пгт Верхнетуломский,Поселок городского типа,Мурманская область,623,697
Городское население - пгт Кильдинстрой,Поселок городского типа,Мурманская область,1105,1139
Городское население - пгт Молочный,Поселок городского типа,Мурманская область,1906,2288
Городское поселение Мурмаши - городское население - пгт Мурмаши,Поселок городского типа,Мурманская область,4930,4638
Городское поселение Туманный - городское население - пгт Туманный,Поселок городского типа,Мурманская область,197,207
Городское поселение Ревда - городское население - пгт Ревда,Поселок городского типа,Мурманская область,3161,3233
Городское население - пгт Умба,Поселок городского типа,Мурманская область,1839,2282
пгт Никель,Поселок городского типа,Мурманская область,4543,5315
пгт Печенга,Поселок городского типа,Мурманская область,1381,825
Демянское городское поселение - городское население - пгт Демянск рп,Поселок городского типа,Новгородская область,2036,2465
Городское население - пгт Крестцы рп,Поселок городского типа,Новгородская область,3699,4522
Городское население - пгт Любытино рп,Поселок городского типа,Новгородская область,1090,1381
Городское население - пгт Неболчи рп,Поселок городского типа,Новгородская область,786,1006
Панковское городское поселение - городское население - пгт Панковка рп,Поселок городского типа,Новгородская область,4948,5161
Городское население - пгт Пролетарий рп,Поселок городского типа,Новгородская область,2021,2609
Городское население - пгт Кулотино рп,Поселок городского типа,Новгородская область,902,1192
Городское население - пгт Угловка рп,Поселок городского типа,Новгородская область,1038,1281
Городское население - пгт Парфино рп,Поселок городского типа,Новгородская область,3171,3310
Городское население - пгт Шимск рп,Поселок городского типа,Новгородская область,1510,1839
Городское население - пгт Хвойная рп,Поселок городского типа,Новгородская область,2790,3300
Городское поселение Бежаницы - городское население - пгт Бежаницы,Поселок городского типа,Псковская область,1649,2082
Городское население - пгт Красный Луч,Поселок городского типа,Псковская область,338,386
Городское поселение Дедовичи - городское население - пгт Дедовичи,Поселок городского типа,Псковская область,3066,3856
Городское поселение Красногородск - городское население - пгт Красногородск,Поселок городского типа,Псковская область,1582,1939
Городское поселение Кунья - городское население - пгт Кунья,Поселок городского типа,Псковская область,1295,1607
Городское поселение Локня - городское население - пгт Локня,Поселок городского типа,Псковская область,1559,1982
Городское поселение Палкино - городское население - пгт Палкино,Поселок городского типа,Псковская область,1304,1566
Городское население - пгт Заплюсье,Поселок городского типа,Псковская область,341,528
Городское население - пгт Плюсса,Поселок городского типа,Псковская область,1053,1371
Городское население - пгт Пушкинские Горы,Поселок городского типа,Псковская область,1876,2497
Городское население - пгт Идрица,Поселок городского типа,Псковская область,2023,1969
Городское население - пгт Сосновый Бор,Поселок городского типа,Псковская область,1132,756
Городское население - пгт Струги Красные,Поселок городского типа,Псковская область,2183,2688
Городское поселение Усвяты - городское население - пгт Усвяты,Поселок городского типа,Псковская область,1270,1401
Городское поселение пгт Энем,Поселок городского типа,Республика Адыгея,14471,16032
Городское население - пгт Энем,Поселок городского типа,Республика Адыгея,12829,14888
Городское поселение пгт Яблоновский,Поселок городского типа,Республика Адыгея,26847,30455
Городское население - пгт Яблоновский,Поселок городского типа,Республика Адыгея,25395,28896
Городское поселение пгт Тлюстенхабль,Поселок городского типа,Республика Адыгея,4271,3312
Городское население - пгт Тлюстенхабль,Поселок городского типа,Республика Адыгея,4040,3090
пгт Аграрное,Поселок городского типа,Республика Крым,1653,1814
пгт Грэсовский,Поселок городского типа,Республика Крым,4617,5539
пгт Комсомольское,Поселок городского типа,Республика Крым,1855,2340
пгт Партенит,Поселок городского типа,Республика Крым,2837,3635
пгт Заозерное,Поселок городского типа,Республика Крым,2189,2625
пгт Мирный,Поселок городского типа,Республика Крым,1711,2160
пгт Новоозерное,Поселок городского типа,Республика Крым,2170,2915
пгт Коктебель,Поселок городского типа,Республика Крым,1557,1744
пгт Приморский,Поселок городского типа,Республика Крым,6029,7281
пгт Щебетовка,Поселок городского типа,Республика Крым,1680,1828
пгт Гаспра,Поселок городского типа,Республика Крым,5658,6604
пгт Гурзуф,Поселок городского типа,Республика Крым,4154,5258
пгт Кореиз,Поселок городского типа,Республика Крым,2768,3207
пгт Массандра,Поселок городского типа,Республика Крым,3596,4221
пгт Почтовое,Поселок городского типа,Республика Крым,1422,1658
пгт Зуя,Поселок городского типа,Республика Крым,3115,3506
Азовское сельское поселение - пгт Азовское,Поселок городского типа,Республика Крым,1582,1857
Кировское сельское поселение - сельское население - пгт Кировское,Поселок городского типа,Республика Крым,2978,3524
пгт Красногвардейское,Поселок городского типа,Республика Крым,5023,6050
Октябрьское сельское поселение - пгт Октябрьское,Поселок городского типа,Республика Крым,5012,5920
пгт Багерово,Поселок городского типа,Республика Крым,1804,2168
Лениново сельское поселение - сельское население - пгт Ленино,Поселок городского типа,Республика Крым,3267,4095
